Card ID,Card Name,Expansion,Collection Number,Category,Pokemon Stage,Previous Stage,HP,Energy Type,Trainer Type,Rule,Weakness,Resistance,Retreat Cost,Move 1 Name,Move 1 Energy Cost,Move 1 Damage,Move 1 Effect,Move 2 Name,Move 2 Energy Cost,Move 2 Damage,Move 2 Effect,Ability Name,Ability Effect,Explanation / Synergy Tag
PKMN-10001,Bulbasaur,Astral Radiance,190/198,Pokemon,Basic,,70,Grass,,,Fire x2,None,1,Solar Beam,1 G,10,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",,,,,Bulbasaur's Intuition,,Standard basic Grass starter for Bulbasaur evolution tree.
PKMN-10002,Ivysaur,Astral Radiance,008/198,Pokemon,Stage 1,Bulbasaur,90,Grass,,,Fire x2,None,1,Energy Ball,2 G,60,,Energy Ball,,,,,,Stage 1 pivot & engine bridge for Ivysaur lineup.
PKMN-10003,Venusaur,Astral Radiance,115/198,Pokemon,Stage 2,Ivysaur,180,Grass,,,Fire x2,None,2,Giga Drain,2 G 1 C,120,,Forest Blast,3 G,200,,Supercharged Breaker,,Stage 2 heavy attacker / archetype anchor Venusaur.
PKMN-10004,Venusaur ex,Astral Radiance,089/198,Pokemon,Stage 2,Ivysaur,320,Grass,,"Pokemon ex Rule: When your Pokemon ex is Knocked Out, your opponent takes 2 Prize cards.",Fire x2,None,1,Giga Drain,2 G,160,,,,,,,,Meta tier-1 rule-box flagship Venusaur ex.
PKMN-10005,Oddish,Evolving Skies,093/198,Pokemon,Basic,,90,Grass,,,Fire x2,None,1,Giga Drain,1 G,10,,Petal Dance,2 G,30,,,,Standard basic Grass starter for Oddish evolution tree.
PKMN-10006,Gloom,Evolving Skies,098/198,Pokemon,Stage 1,Oddish,110,Grass,,,Fire x2,None,1,Flora Heal,2 G,70,Discard an Energy from this Pokemon to deal 30 more damage.,Giga Drain,,,,Inconspicuous,,Stage 1 pivot & engine bridge for Gloom lineup.
PKMN-10007,Vileplume,Evolving Skies,163/198,Pokemon,Stage 2,Gloom,150,Grass,,,Fire x2,None,2,Spore Burst,2 G 1 C,140,This attack does 30 damage to each of your opponent's Benched Pokemon.,Spore Burst,3 G,160,,Supercharged Breaker,"Once during your turn, you may attach 1 Basic Energy from your hand to this Pokemon.",Stage 2 heavy attacker / archetype anchor Vileplume.
PKMN-10008,Tangela,Surging Sparks,017/198,Pokemon,Basic,,60,Grass,,,Fire x2,None,2,Forest Blast,1 G,30,,Giga Drain,,50,,,,Standard basic Grass starter for Tangela evolution tree.
PKMN-10009,Tangrowth,Surging Sparks,064/198,Pokemon,Stage 1,Tangela,130,Grass,,,Fire x2,None,2,Spore Burst,2 G,70,,Petal Dance,3 G,80,,,,Stage 1 pivot & engine bridge for Tangrowth lineup.
PKMN-10010,Treecko,Obsidian Flames,040/198,Pokemon,Basic,,60,Grass,,,Fire x2,None,1,Leaf Blade,1 G,30,,Solar Beam,2 G,,,,,Standard basic Grass starter for Treecko evolution tree.
